"genus_species","Tpref","ref_Tpref","ref_from_ref","notes_Tpref","limit_type"
"Rana_cascadae","16","Wollmuth_et_al_1986","","","max, min"
"Philoria_loveridgei","15.4","Lopez_2015","","","max"
"Desmognathus_ochrophaeus","17.4","Spotila_1972","","","max"
"Desmognathus_quadramaculatus","13.6","Fontenot_and_Lutterschmidt_2011","Sievert and Andreadis 2002","","max"
"Eurycea_longicauda","21.7","Spotila_1972","","","max"
"Eurycea_lucifuga","19.3","Fontenot_and_Lutterschmidt_2011","Sievert and Andreadis 2002","","max"
"Eurycea_multiplicata","18.8","Spotila_1972","","","max"
"Cophixalus_aenigma","23","Merino-Viteri_2018","","","max"
"Cophixalus_bombiens","27.5","Merino-Viteri_2018","","","max"
"Cophixalus_exiguus","27.4","Merino-Viteri_2018","","","max"
"Cophixalus_hosmeri","22.2","Merino-Viteri_2018","","","max"
"Cophixalus_mcdonaldi","26.9","Merino-Viteri_2018","","","max"
"Cophixalus_neglectus","24.6","Merino-Viteri_2018","","","max"
"Hyla_caerulea","30.7","Tracy_and_Christian_2005","","","max"
"Gopherus_agassizii","26.6","Spotila_et_al_1994","","hatchlings","max"
"Anolis_cooki","30.6","Huey_and_Webster_1976","","","max, min"
"Austrelaps_superbus","32.8","Lillywhite_1980","","","max, min"
"Bassiana_duperreyi","34.23","Du_et_al_2010","","hatchlings","max, min"
"Acanthodactylus_erythrurus","37.15","Bauwens_and_Garland_1995","","median Tb","max"
"Acontias_meleagris","28.1","Withers_1981","","","max"
"Chamaeleo_dilepis","32.8","Bennett_2014","","","max, min"
"Chamaeleo_jacksonii","32.1","Bennett_2014","","","max, min"
"Coleonyx_brevis","31.8","Dial_and_Grismer_1992","","","max, min"
"Cophosaurus_texanus","37.9","Sartorius_2002","","","max, min"
"Cordylus_cordylus","32.1","Clusella-Trullas_et_al_2007","","","max, min"
"Cordylus_niger","32.6","Clusella-Trullas_et_al_2007","","","max, min"
"Ctenophorus_decresii","35.9","Walker_et_al_2015","","","max, min"
"Ctenotus_regius","35.6","Bennett_and_John-Alder_1986","","","max, min"
"Ctenotus_taeniolatus","35.3","Bennett_and_John-Alder_1986","","","max, min"
"Ctenotus_uber","35.3","Bennett_and_John-Alder_1986","","","max, min"
"Charina_bottae","27.4","Dorcas_and_Peterson_1997","","","max"
"Egernia_striolata","32.7","Bennett_and_John-Alder_1986","","","max, min"
"Ctenophorus_nuchalis","36.4","Bradshaw_1988","Licht et al. 1996","","max"
"Ctenotus_pantherinus","36.1","Gordon_et_al_2010","","","max"
"Eulamprus_heatwolei","32.2","Schwarzkopf_and_Shine_1991","","","max, min"
"Hemachatus_haemachatus","21","Alexander_1996","","","max, min"
"Hemidactylus_turcicus","28.4","Angilletta_et_al_1999","","","max, min"
"Hemiergis_decresiensis","24.8","Huey_et_al_1987","","","max, min"
"Heteronotia_binoei","30","Light_et_al_1966","","","max, min"
"Lacerta_agilis","34.7","Bauwens_and_Garland_1995","","median Tb","max, min"
"Lampropholis_guichenoti","33.75","Fraser_and_Grigg_1984","","","max, min"
"Liolaemus_canqueli","35.2","Azocar_et_al_2013","","","max, min"
"Hemiergis_quadrilineatum","27","Light_et_al_1966","","","max"
"Lacerta_schreiberi","35.3","Bauwens_and_Garland_1995","","","max"
"Liolaemus_kingii","34.801","Cruz_et_al_2014","","","max, min"
"Liolaemus_bisignatus","34.75","Labra_et_al_2008","Labra_et_al_2009","","min"
"Liolaemus_melanops","36","Azocar_et_al_2013","","","max, min"
"Liolaemus_chiliensis","35.16","Labra_et_al_2008","Labra_et_al_2009","","min"
"Liolaemus_constanzae","34.31","Labra_et_al_2008","Labra_et_al_2001","","min"
"Liolaemus_curis","35.9","Labra_et_al_2009","","","min"
"Liolaemus_cyanogaster","33.79","Labra_et_al_2008","Labra_et_al_2009","","min"
"Liolaemus_petrophilus","35.216","Cruz_et_al_2014","","","max, min"
"Liolaemus_fitzgeraldi","35.68","Labra_et_al_2008","Labra_et_al_2009","","min"
"Liolaemus_poecilochromus","34.689","Cruz_et_al_2014","","","max, min"
"Liolaemus_hellmichi","33.69","Labra_et_al_2008","Labra_et_al_2009","","min"
"Liolaemus_pseudoanomalus","33.403","Cruz_et_al_2014","","","max, min"
"Liolaemus_riojanus","36.196","Cruz_et_al_2014","","","max, min"
"Liolaemus_rothi","33.287","Cruz_et_al_2014","","","max, min"
"Liolaemus_leopardinus","34.24","Labra_et_al_2008","Labra_et_al_2009","","min"
"Liolaemus_lorenzmuelleri","36.13","Labra_et_al_2008","Labra_et_al_2009","","min"
"Liolaemus_salinicola","34.258","Cruz_et_al_2014","","","max, min"
"Liolaemus_scapularis","32.98","Cruz_et_al_2014","","","max, min"
"Liolaemus_nigromaculatus","35.12","Labra_et_al_2008","Labra_et_al_2009","","min"
"Liolaemus_nigroviridis","36.31","Labra_et_al_2008","Labra_et_al_2009","","min"
"Liolaemus_nitidus","35.7","Labra_1998","","","min"
"Liolaemus_platei","34.5","Labra_et_al_2008","Labra_et_al_2009","","min"
"Moloch_horridus","36.7","Light_et_al_1966","","","max, min"
"Liolaemus_pseudolemniscatus","34.6","Labra_et_al_2008","Labra_et_al_2009","","min"
"Phymaturus_antofagastensis","33.2","Cruz_et_al_2009","","","max, min"
"Liolaemus_schroederi","34.9","Labra_1998","","","min"
"Phymaturus_indistinctus","34.1","Cruz_et_al_2009","","","max, min"
"Liolaemus_vallecurensis","35.91","Labra_et_al_2008","Labra_et_al_2009","","min"
"Liolaemus_walkeri","33.76","Labra_et_al_2008","Labra_et_al_2009","","min"
"Phymaturus_palluma","35.3","Cruz_et_al_2009","","","max, min"
"Phymaturus_somuncurensis","32.8","Cruz_et_al_2009","","","max, min"
"Phymaturus_zapalensis","35.84","Duran_et_al_2018","","","max, min"
"Platysaurus_intermedius","31.5","Clusella-Trullas_et_al_2007","Lailvaux et al. 2003","subspecies; wilhelmi","max, min"
"Plestiodon_gilberti","29.1","Tracy_2017","","","max, min"
"Phrynosoma_coronatum","35","Ramirez_Enriquez_2018","","","max"
"Psammodromus_hispanicus","35.1","Bauwens_and_Garland_1995","","Median tb","max, min"
"Pseudonaja_textilis","34.5","Lillywhite_1980","","","max, min"
"Plestiodon_skiltonianus","29.1","Tracy_2017","","","max"
"Sphaerodactylus_gaigeae","31.6","Martin_et_al_2008","","","max, min"
"Sphaerodactylus_klauberi","30.8","Martin_et_al_2008","","","max, min"
"Sphaerodactylus_macrolepis","30.6","Martin_et_al_2008","","","max, min"
"Pseudocordylus_melanotus","30.535","McConnachie_et_al_2009","","subspecies, average across summer and winter","min"
"Sphaerodactylus_nicholsi","32.6","Martin_et_al_2008","","","max, min"
"Sphaerodactylus_roosevelti","29.3","Martin_et_al_2008","","","max, min"
"Sphaerodactylus_townsendi","28.7","Martin_et_al_2008","","","max, min"
"Takydromus_hsuehshanensis","32.1","Huang_et_al_2014","","","max, min"
"Sceloporus_woodi","37.25","Neel_2016","","","max"
"Takydromus_sexlineatus","31.5","Zhang_and_Ji_2004","","","max, min"
"Tiliqua_nigrolutea","34.8","Bennett_and_John-Alder_1986","","","max, min"
"Liolaemus_dorbignyi","31.01","Labra_et_al_2008","Labra_et_al_2009","","max, min"
"Tiliqua_scincoides","29.3","Myhre_and_Hammel_1969","","","max"
"Uma_inornata","37","Crowley_1985","Brattstrom 1965","","max"
"Xantusia_henshawi","27.2","Mautz_and_Case_1974","","","max"
"Lepidodactylus_lugubris","31.08","Bolger_and_Case_1994","","","max, min"
"Apteropanorpa_tasmanica","","","","",NA
"Phymaturus_patagonicus","31.13","Ibarguengoytia_2005","","","max, min"
"Anolis_distichus","30.96","Corn_1971","","","max"
"Myrmecocystus_mimicus","27","Kay_1974","","","max, min"
"Acris_crepitans","26.92","Sauer_et_al_2018 Gray_1977 Gray_1977 Gray_1977","   ","   ","min"
"Agkistrodon_contortrix","26.45","Carter_2012 Mueller_and_Gienger_2019"," ","Tpref here defined as interquantile range of temps ","max, min"
"Amphibolurus_muricatus","36","Light_et_al_1966","","abstract only","max, min"
"Anniella_pulchra","24.03","Bury_and_Balgooyen_1976 Bury_and_Balgooyen_1976"," "," ","max"
"Anolis_carolinensis","34.63","Ryan_and_Gunderson_2020 Ryan_and_Gunderson_2020 Ryan_and_Gunderson_2020","  ","different acclimation temperatures different acclimation temperatures different acclimation temperatures","max, min"
"Anolis_cybotes","29.92","Munoz_2014 Munoz_2014 Munoz_2014 Munoz_2014","   ","   ","max"
"Anolis_gundlachi","25.2","Hertz_et_al_1993","","range of Tset point given","max, min"
"Anolis_limifrons","25.95","Rosso_2020 Rosso_2020"," ","different acclimation temperatures, averaged across before+after treatment different acclimation temperatures, averaged across before+after treatment","max, min"
"Anolis_sagrei","32.94","Ryan_and_Gunderson_2020 Ryan_and_Gunderson_2020 Ryan_and_Gunderson_2020 Neel_et_al_2021","   ","different acclimation temperatures different acclimation temperatures different acclimation temperatures ","max"
"Cnemidophorus_sexlineatus","35.15","Witz_2005 Witz_2005"," "," ","max"
"Coleonyx_variegatus","30.36","Dial_and_Grismer_1992 Vance_1973"," "," also has multiple acclimation temperatures","max, min"
"Coluber_constrictor","29.31","Howey_2014 Kitchell_1969"," "," ","max"
"Cordylus_oelofseni","32.85","Clusella-Trullas_et_al_2007 Basson_and_Clusella-Trullas_2015 Basson_and_Clusella-Trullas_2015","  ","  ","max, min"
"Crotalus_viridis","29.6","Gier_et_al_1989 Gier_et_al_1989"," "," ","max"
"Crotaphytus_collaris","32.57","Sievert_and_Hutchison_1989 Sievert_and_Hutchison_1989 Sievert_and_Hutchison_1989 Sievert_and_Hutchison_1989 Sievert_and_Hutchison_1989 Sievert_and_Hutchison_1989","     ","male vs female, different light treatments male vs female, different light treatments male vs female, different light treatments male vs female, different light treatments male vs female, different light treatments male vs female, different light treatments","max"
"Dipsosaurus_dorsalis","38.65","Bradshaw_1988 Pianka_1971 Crowley_1985","De Witt 1967  Licht 1964a cited in Dawson 1967","  ","max, min"
"Egernia_cunninghami","32.77","Wilson_1974 Light_et_al_1966"," "," ","max, min"
"Elgaria_coerulea","23.53","Campbell_1981 Campbell_1981 Campbell_1981 Campbell_1981","   ","   ","max"
"Elgaria_multicarinata","26.2","Crowley_1985","Bennett 1980","","max, min"
"Eremias_argus","35.63","Li_et_al_2009 Li_et_al_2009 Li_et_al_2009 Li_et_al_2017","   ","different acclimation temperatures different acclimation temperatures different acclimation temperatures ","max, min"
"Eremias_brenchleyi","34.59","Li_et_al_2009 Li_et_al_2009 Li_et_al_2009 Xu_and_Ji_2006 Xu_and_Ji_2006","    ","different acclimation temperatures different acclimation temperatures different acclimation temperatures different ages different ages","max, min"
"Eremias_multiocellata","35.19","Li_et_al_2009 Li_et_al_2009 Li_et_al_2009 Li_et_al_2019","   ","different acclimation temperatures different acclimation temperatures different acclimation temperatures ","max, min"
"Eremiascincus_fasciolatus","22.8","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986"," "," ","max, min"
"Eremiascincus_richardsoni","25.95","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986"," "," ","max, min"
"Eulamprus_kosciuskoi","30.6","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986 Bell_et_al_2019"," Spellerberg, 1972c ","  ","max, min"
"Eulamprus_quoyii","29.42","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986 "," Vernon and Heatwole, 1970 Spellerberg, 1972c ","   ","max, min"
"Eulamprus_tympanum","29.48","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986"," Spellerberg, 1972c Vernon and Heatwole, 1970","  ","max, min"
"Gehyra_variegata","34.41","Light_et_al_1966 Angilletta_and_Werner_1998"," "," ","max, min"
"Heloderma_suspectum","29.43","Boggert_and_del_Campo_1956 Boggert_and_del_Campo_1956 Boggert_and_del_Campo_1956","  ","  ","max"
"Hemiergis_peroni","21.9","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986"," "," ","max, min"
"Hoplodactylus_maculatus","24.72","Rock_and_Cree_2008 Tocher_1992 Tocher_1992 Besson_and_Cree_2011 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000","               ","average of values before and after implantation, across times of day different populations different populations             ","min"
"Lampropholis_delicata","28.44","Merritt_et_al_2013 Goulet_et_al_2016 Goulet_et_al_2016 Mathews_et_al_2016 Downes_and_Hoefer_2008","    ","    ","max, min"
"Limnodynastes_tasmaniensis","23.75","Whitehead_et_al_1988 Whitehead_et_al_1988"," "," ","max"
"Liolaemus_abaucan","35.01","Cruz_et_al_2011 Cruz_et_al_2014"," "," ","max, min"
"Liolaemus_albiceps","35.64","Cruz_et_al_2011 Cruz_et_al_2014 Valdecantosa_et_al_2013","  ","  ","max, min"
"Liolaemus_alticolor","32.92","Labra_et_al_2008","Labra_et_al_2009","","min"
"Liolaemus_bibronii","27.46","Labra_et_al_2018 Medina_et_al_2009 Cruz_et_al_2014","Labra_et_al_2009  ","  ","max, min"
"Liolaemus_boulengeri","33.37","Medina_et_al_2011 Medina_et_al_2011"," "," ","max, min"
"Liolaemus_chacoensis","32.82","Astudillo_et_al_2019 Cruz_et_al_2011 Cruz_et_al_2014","  ","  ","max, min"
"Liolaemus_cuyanus","33.73","Cruz_et_al_2011 Azocar_et_al_2013"," "," ","max, min"
"Liolaemus_darwinii","34.65","Cruz_et_al_2011 Cruz_et_al_2014 Cruz_et_al_2014","  ","  ","max, min"
"Liolaemus_elongatus","33.12","Ibarguengoytia_2005 Cruz_et_al_2014 Duran_et_al_2018","  ","  ","max, min"
"Liolaemus_fabiani","31.98","Labra_et_al_2008 Labra_et_al_2008","Labra_et_al_2001 "," ","min"
"Liolaemus_fitzingerii","34.39","Azocar_et_al_2013 Cruz_et_al_2014"," "," ","max, min"
"Liolaemus_fuscus","35.15","Labra_and_Bozinovic_2002 Labra_and_Bozinovic_2002"," "," ","min"
"Liolaemus_irregularis","36.07","Cruz_et_al_2011 Cruz_et_al_2014 Valdecantosa_et_al_2013 Valdecantosa_et_al_2013 Valdecantosa_et_al_2013 Valdecantosa_et_al_2013","     ","     ","max, min"
"Liolaemus_jamesi","32.94","Labra_et_al_2008","Labra_et_al_2009","","min"
"Liolaemus_koslowskyi","34.56","Cruz_et_al_2011 Cruz_et_al_2014"," "," ","max, min"
"Liolaemus_kriegi","35.17","Cruz_et_al_2014","","","max, min"
"Liolaemus_laurenti","35.12","Cruz_et_al_2011 Cruz_et_al_2014"," "," ","max, min"
"Liolaemus_lemniscatus","35.23","Labra_1998 Labra_and_Bozinovic_2002"," "," pregnant","min"
"Liolaemus_monticola","36.7","Labra_and_Bozinovic_2002 Labra_and_Bozinovic_2002"," ","not pregnant pregnant","min"
"Liolaemus_multicolor","35.13","Cruz_et_al_2014 Valdecantosa_et_al_2013"," "," ","max, min"
"Liolaemus_multimaculatus","36.83","Stellatelli_et_al_2013 Stellatelli_et_al_2020 Cruz_et_al_2014","  "," multiple populations ","max, min"
"Liolaemus_olongasta","34.17","Cruz_et_al_2011 Cruz_et_al_2014"," "," ","max, min"
"Liolaemus_ornatus","35.87","Labra_et_al_2008 Cruz_et_al_2011 Cruz_et_al_2014","Labra_et_al_2009  ","  ","min"
"Liolaemus_pictus","36.7","Labra_1998 Kubisch_et_al_2016 Kubisch_et_al_2016 Kubisch_et_al_2016 Artacho_et_al_2017 Artacho_et_al_2017 Artacho_et_al_2017 Artacho_et_al_2017 Artacho_et_al_2017 Artacho_et_al_2017"," Gutierrez et al. 2010        ","  different acclimation temperatures different acclimation temperatures different populations and sexes different populations and sexes different populations and sexes different populations and sexes different populations and sexes different populations and sexes","min"
"Liolaemus_quilmes","35.15","Cruz_et_al_2011 Cruz_et_al_2014"," "," ","max, min"
"Liolaemus_tenuis","35.93","Labra_1998 Labra_et_al_2008"," Labra_et_al_2009","subspecies: tenuis subspecies: punctatisimus","min"
"Liolaemus_xanthoviridis","36.2","Azocar_et_al_2013 Cruz_et_al_2014"," "," ","max, min"
"Niveoscincus_ocellatus","28.44","Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018","                 ","mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile","max, min"
"Notechis_scutatus","26.03","Ladyman_and_Bradshaw_2003 Ladyman_and_Bradshaw_2003 Ladyman_and_Bradshaw_2003 Ladyman_and_Bradshaw_2003 Lillywhite_1980","    ","    ","max, min"
"Notophthalmus_viridescens","21.41","Berner_and_Bessay_2006 Berner_and_Bessay_2006 Sherman_2008 Sherman_2008","   ","  infected ","max"
"Oligosoma_maccanni","26.16","Hare_et_al_2009 Besson_and_Cree_2011","pregnant "," ","min"
"Phrynosoma_cornutum","34.73","Russel_1997 Prieto_and_Whitford_1971 Lara-Reséndiz_et_al_2015","  ","  ","max, min"
"Phrynosoma_platyrhinos","35.88","Pianka_and_Parker_1975 Kitchell_1969"," "," ","max"
"Phymaturus_dorsimaculatus","35.97","Cruz_et_al_2011 Cruz_et_al_2009"," "," ","max, min"
"Phymaturus_tenebrosus","33.71","Cabezas-Cartes_et_al_2019 Cruz_et_al_2009"," "," ","max, min"
"Plestiodon_chinensis","31.59","Shu_et_al_2010 Shu_et_al_2010 Shu_et_al_2010 Shu_et_al_2010","   ","different food and temperaure treatments different food and temperaure treatments different food and temperaure treatments different food and temperaure treatments","max, min"
"Plethodon_glutinosus","21.9","Elwood_2003","","","max"
"Podarcis_bocagei","32.27","Sannolo_et_al_2018 Bauwens_and_Garland_1995"," "," median Tb","max"
"Podarcis_lilfordi","33.84","Ortega_and_Perez-Mellado_2017 Edward_1984 Edward_1984 Edward_1984 Edward_1984 Edward_1984 Edward_1984 Bauwens_and_Garland_1995","       ","mean Tb different acclimation temperatures and weeks  different acclimation temperatures and weeks  different acclimation temperatures and weeks  different acclimation temperatures and weeks  different acclimation temperatures and weeks  different acclimation temperatures and weeks  median Tb","max"
"Podarcis_muralis","34.15","Bauwens_and_Garland_1995","","median body temp","max, min"
"Podarcis_tiliguerta","35.48","Bauwens_and_Garland_1995 Van_Damme_et_al_1989 Van_Damme_et_al_1989","  ","median Tb  ","max"
"Psammodromus_algirus","34.91","Zamora-Camacho_et_al_2016 Zamora-Camacho_et_al_2016 Zamora-Camacho_et_al_2016 Zamora-Camacho_et_al_2016 Zamora-Camacho_et_al_2016 Zamora-Camacho_et_al_2016 Diaz_1997 Bauwens_and_Garland_1995","       ","across elevation across elevation across elevation across elevation across elevation across elevation median selected Tb Median tb","max, min"
"Pseudemoia_entrecasteauxii","32.39","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986 Stapley_2006","   ","   ","max, min"
"Saiphos_equalis","20.49","Wu_et_al_2009 Wu_et_al_2009 Wu_et_al_2009 Wu_et_al_2009","   ","   ","max"
"Sceloporus_graciosus","32.73","Mueller_1970 Mueller_1970 Mueller_1970 Mueller_1970 Mueller_1970 Mueller_1970 Mueller_1970 Mueller_1970 Mueller_1970 Licht_1965 Licht_1965","          ","          ","max, min"
"Sceloporus_grammicus","30.2","Lara-Resendiz_et_al_2014 Vega-Perez_et_al_2019 Vega-Perez_et_al_2019 Vega-Perez_et_al_2019 Vega-Perez_et_al_2019","    ","    ","max"
"Sceloporus_magister","34.95","Parker_and_Pianka_1973 Parker_and_Pianka_1973 Engbretson_and_Hutchinson_1974 Sartorius_2002","   ","different acclimation temperatures   ","max"
"Sceloporus_occidentalis","32.62","Crowley_1985 Wilhoft_and_Anderson_1960 Wilhoft_and_Anderson_1960 Wilhoft_and_Anderson_1960 Wilhoft_and_Anderson_1960 Wilhoft_and_Anderson_1960","Brattstrom 1965     "," different acclimation temperatures different acclimation temperatures different acclimation temperatures different acclimation temperatures different acclimation temperatures","max, min"
"Sceloporus_undulatus","35.32","Crowley_1985 Sartorius_2002"," "," ","max, min"
"Sphenomorphus_indicus","25.7","Du_et_al_2006 Du_et_al_2006 Ji_et_al_1997","  ","male female ","max, min"
"Takydromus_septentrionalis","33.07","Yang_et_al_2008 Yang_et_al_2008 Yang_et_al_2008 Yang_et_al_2008 Yang_et_al_2008 Yang_et_al_2008 Yang_et_al_2008 Yang_et_al_2008","       ","different populations, sexes different populations, sexes different populations, sexes different populations, sexes different populations, sexes different populations, sexes different populations, sexes different populations, sexes","max, min"
"Thamnophis_elegans","27.6","Scott_and_Pettus_1979 Scott_and_Pettus_1979"," ","sampled in different seasons sampled in different seasons","max, min"
"Thamnophis_marcianus","27.5","Jackson_2014 Jackson_2014 Jackson_2014 Jackson_2014 Jackson_2014 Jackson_2014","     ","     ","min"
"Thamnophis_sirtalis","29.15","Lysenko_and_Gillis_1980 Lysenko_and_Gillis_1980 Lysenko_and_Gillis_1980 Lysenko_and_Gillis_1980 Kitchell_1969 Abney_2019 Taylor_and_Davies_1981","      ","     subspecies:sirtalis subspecies: parietalis","max, min"
"Tiliqua_rugosa","30.47","Wilson_1974 Light_et_al_1966 Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986","   Wilson, 1974","   ","max, min"
"Trimeresurus_stejnegeri","24.33","Tsai_and_Tu_2005 Tsai_and_Tu_2005"," "," ","max, min"
"Urosaurus_ornatus","35.93","Sartorius_2002 Gilbert_2020 Gilbert_2020 Gilbert_2020","   ","tsel as a range selection experiment selection experiment selection experiment","max"
"Xantusia_riversiana","31.68","Ehrenberger_2010 Ehrenberger_2010 Ehrenberger_2010 Ehrenberger_2010 Ehrenberger_2010 Ehrenberger_2010 Ehrenberger_2010","      ","multiple populatipns multiple populatipns multiple populatipns multiple populatipns multiple populatipns multiple populatipns multiple populatipns","max, min"
"Xantusia_vigilis","31.97","Kaufmann_and_Bennett_1989 Kaufmann_and_Bennett_1989"," ","multiple acclimation temps multiple acclimation temps","max, min"
"Zootoca_vivipara","33.46","Rechels_et_al_2021 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Patterson_and_Davies_1978 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Bauwens_and_Garland_1995 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Van_Damme_et_al_1990 Van_Damme_et_al_1990 Artacho_et_al_2013"," Patterson & Davies 1978 Van Damme et al. 1990 Van Damme et al. 1990 Gvozdik & Castilla 2001  Van Damme et al. 1986 Van Damme et al. 1986 Gvozdik & Castilla 2001  Van Damme et al. 1986 Van Damme et al. 1986 Gvozdik & Castilla 2001  Van Damme et al. 1986 Van Damme et al. 1986 Gvozdik & Castilla 2001                                                                ","from figure 4, mean across populations                  6 individuals measured 8 times over a few months f, manipulated water levels f, manipulated water levels f, manipulated water levels f, manipulated water levels f, manipulated water levels f, manipulated water levels f, manipulated water levels f, manipulated water levels m, manipulated water levels m, manipulated water levels m, manipulated water levels m, manipulated water levels m, manipulated water levels m, manipulated water levels m, manipulated water levels m, manipulated water levels median Tb different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different populations different populations ","max, min"
